,age,gender,device_type,ad_position,browsing_history,time_of_day,click
32,40.339417052574234,Male,Tablet,Side,Entertainment,Morning,1
33,37.0,Male,Mobile,Top,News,Evening,0
34,40.339417052574234,Male,Mobile,Top,Entertainment,Afternoon,0
35,24.0,Male,Mobile,Bottom,Entertainment,Night,1
36,58.0,Non-Binary,Mobile,Side,Entertainment,Evening,1
37,59.0,Male,Tablet,Top,Entertainment,Morning,1
38,26.0,Non-Binary,Tablet,Top,Entertainment,Morning,1
39,40.339417052574234,Non-Binary,Desktop,Bottom,Entertainment,Evening,1
40,40.339417052574234,Male,Mobile,Bottom,Entertainment,Night,1
41,40.0,Male,Mobile,Bottom,News,Morning,1
42,40.339417052574234,Male,Desktop,Bottom,Shopping,Afternoon,0
43,48.0,Male,Mobile,Side,News,Night,1
44,40.339417052574234,Male,Desktop,Side,Entertainment,Morning,1
45,52.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
46,40.339417052574234,Male,Desktop,Side,Entertainment,Night,0
47,40.339417052574234,Male,Desktop,Bottom,Entertainment,Afternoon,1
48,40.339417052574234,Male,Tablet,Side,Social Media,Morning,1
49,40.339417052574234,Male,Desktop,Side,Social Media,Morning,1
50,38.0,Male,Desktop,Bottom,Social Media,Afternoon,1
51,58.0,Male,Tablet,Bottom,Entertainment,Morning,1
52,49.0,Male,Mobile,Top,News,Morning,1
53,40.339417052574234,Male,Mobile,Top,Entertainment,Morning,0
54,30.0,Male,Desktop,Side,Entertainment,Night,1
55,40.339417052574234,Male,Desktop,Side,Shopping,Afternoon,1
56,46.0,Male,Desktop,Bottom,Education,Evening,1
57,42.0,Male,Mobile,Top,Entertainment,Evening,0
58,41.0,Female,Desktop,Bottom,Entertainment,Night,0
59,40.339417052574234,Non-Binary,Desktop,Top,Entertainment,Morning,0
60,40.339417052574234,Non-Binary,Tablet,Bottom,Entertainment,Morning,0
61,40.339417052574234,Male,Tablet,Top,Education,Morning,1
62,58.0,Male,Desktop,Bottom,Social Media,Evening,1
63,40.339417052574234,Male,Mobile,Top,Entertainment,Afternoon,1
64,40.339417052574234,Male,Mobile,Bottom,Entertainment,Morning,0
65,54.0,Male,Desktop,Top,Entertainment,Night,1
66,40.339417052574234,Female,Desktop,Bottom,Entertainment,Evening,1
67,40.339417052574234,Non-Binary,Mobile,Bottom,Education,Evening,1
69,40.339417052574234,Male,Desktop,Bottom,News,Afternoon,1
70,44.0,Non-Binary,Desktop,Side,Shopping,Morning,1
71,40.339417052574234,Female,Tablet,Bottom,Entertainment,Evening,0
72,48.0,Male,Desktop,Top,Shopping,Evening,0
73,27.0,Non-Binary,Desktop,Bottom,Entertainment,Night,1
74,40.339417052574234,Male,Desktop,Top,Entertainment,Afternoon,1
75,57.0,Male,Desktop,Bottom,Entertainment,Morning,1
76,40.339417052574234,Male,Desktop,Bottom,Social Media,Morning,1
77,40.339417052574234,Male,Tablet,Bottom,Entertainment,Morning,0
78,40.339417052574234,Male,Desktop,Top,Entertainment,Afternoon,0
79,28.0,Male,Mobile,Side,Entertainment,Afternoon,1
80,40.339417052574234,Male,Tablet,Top,News,Afternoon,1
81,52.0,Female,Desktop,Bottom,Shopping,Afternoon,1
82,40.339417052574234,Male,Desktop,Bottom,Education,Morning,1
83,22.0,Female,Desktop,Bottom,Entertainment,Evening,0
84,43.0,Male,Desktop,Bottom,Social Media,Morning,1
85,51.0,Male,Desktop,Top,Entertainment,Morning,0
87,40.339417052574234,Male,Tablet,Bottom,News,Morning,1
88,40.339417052574234,Male,Desktop,Side,Entertainment,Night,1
89,40.339417052574234,Male,Mobile,Side,Entertainment,Night,0
90,40.339417052574234,Male,Desktop,Bottom,Education,Morning,1
91,40.339417052574234,Male,Desktop,Top,Entertainment,Night,1
92,40.339417052574234,Male,Mobile,Top,Social Media,Morning,1
93,40.339417052574234,Non-Binary,Tablet,Side,Entertainment,Afternoon,0
94,40.339417052574234,Female,Tablet,Top,Social Media,Morning,0
95,19.0,Male,Mobile,Side,Entertainment,Night,0
96,40.339417052574234,Male,Mobile,Side,News,Morning,0
97,25.0,Male,Tablet,Bottom,News,Evening,0
98,40.339417052574234,Male,Desktop,Bottom,Entertainment,Morning,1
99,40.339417052574234,Male,Mobile,Top,Entertainment,Morning,1
100,19.0,Male,Mobile,Bottom,Entertainment,Afternoon,0
101,41.0,Male,Desktop,Bottom,Entertainment,Afternoon,1
102,59.0,Female,Desktop,Bottom,Social Media,Morning,0
103,40.339417052574234,Female,Desktop,Top,Entertainment,Morning,1
104,45.0,Female,Desktop,Side,Entertainment,Afternoon,0
105,19.0,Male,Desktop,Side,Entertainment,Morning,1
106,40.339417052574234,Male,Tablet,Bottom,Social Media,Afternoon,0
107,40.339417052574234,Male,Desktop,Top,Entertainment,Night,0
108,34.0,Male,Desktop,Top,News,Morning,1
109,40.339417052574234,Male,Tablet,Bottom,Entertainment,Morning,1
110,40.339417052574234,Female,Desktop,Side,Entertainment,Night,0
111,51.0,Male,Mobile,Bottom,Social Media,Morning,1
112,31.0,Female,Desktop,Bottom,Education,Morning,0
113,43.0,Male,Desktop,Bottom,Education,Afternoon,1
114,40.339417052574234,Male,Desktop,Side,Shopping,Evening,1
115,61.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,0
116,48.0,Non-Binary,Desktop,Top,Entertainment,Night,1
117,40.339417052574234,Female,Tablet,Side,Entertainment,Morning,0
118,40.339417052574234,Male,Tablet,Bottom,Entertainment,Night,1
119,40.339417052574234,Female,Mobile,Side,News,Night,1
120,41.0,Male,Mobile,Bottom,Entertainment,Night,1
121,32.0,Male,Desktop,Side,Entertainment,Morning,0
122,64.0,Female,Mobile,Side,Education,Morning,0
123,25.0,Male,Mobile,Bottom,Education,Morning,1
124,40.339417052574234,Male,Desktop,Side,Entertainment,Morning,1
125,40.339417052574234,Male,Desktop,Side,Entertainment,Afternoon,1
126,23.0,Male,Tablet,Bottom,Entertainment,Morning,1
127,26.0,Non-Binary,Desktop,Side,Entertainment,Evening,1
128,40.339417052574234,Non-Binary,Tablet,Bottom,Education,Morning,1
129,40.339417052574234,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
130,40.339417052574234,Male,Desktop,Bottom,Entertainment,Morning,1
131,40.339417052574234,Male,Desktop,Top,News,Morning,0
132,40.339417052574234,Male,Mobile,Side,Entertainment,Afternoon,1
133,39.0,Male,Mobile,Bottom,Entertainment,Night,1
134,26.0,Male,Mobile,Bottom,Entertainment,Morning,1
135,55.0,Female,Tablet,Side,Shopping,Night,0
136,21.0,Male,Desktop,Top,Entertainment,Evening,0
137,40.339417052574234,Male,Mobile,Top,Social Media,Night,1
138,40.339417052574234,Male,Desktop,Bottom,Social Media,Evening,0
139,26.0,Male,Desktop,Side,Entertainment,Morning,0
140,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0
142,24.0,Male,Desktop,Top,Entertainment,Morning,0
143,54.0,Female,Desktop,Side,Entertainment,Afternoon,0
144,42.0,Male,Desktop,Bottom,Entertainment,Morning,0
145,40.339417052574234,Male,Desktop,Top,Entertainment,Afternoon,1
146,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0
147,58.0,Male,Desktop,Side,Social Media,Afternoon,0
148,40.339417052574234,Male,Tablet,Bottom,Shopping,Morning,0
149,57.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
150,40.339417052574234,Male,Desktop,Top,Entertainment,Morning,1
151,31.0,Male,Desktop,Bottom,Entertainment,Night,1
152,20.0,Male,Desktop,Bottom,Entertainment,Morning,1
153,61.0,Female,Desktop,Bottom,Entertainment,Morning,1
154,43.0,Female,Tablet,Bottom,Social Media,Night,0
155,40.339417052574234,Female,Mobile,Top,Entertainment,Morning,1
156,35.0,Male,Tablet,Top,News,Evening,0
157,40.339417052574234,Male,Desktop,Top,Entertainment,Morning,0
158,42.0,Male,Desktop,Top,Shopping,Night,0
159,40.339417052574234,Male,Desktop,Side,Entertainment,Evening,1
160,40.339417052574234,Male,Desktop,Bottom,Entertainment,Evening,0
161,53.0,Male,Mobile,Top,Entertainment,Morning,1
162,20.0,Female,Tablet,Bottom,Social Media,Night,0
163,19.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
164,40.339417052574234,Non-Binary,Desktop,Bottom,Shopping,Night,0
165,40.339417052574234,Non-Binary,Tablet,Top,Shopping,Morning,0
166,40.339417052574234,Male,Mobile,Bottom,Entertainment,Afternoon,1
167,40.339417052574234,Male,Tablet,Top,Entertainment,Night,1
168,52.0,Male,Mobile,Bottom,Education,Morning,1
169,36.0,Male,Mobile,Bottom,Entertainment,Afternoon,0
170,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
171,42.0,Male,Desktop,Top,Shopping,Night,1
172,34.0,Non-Binary,Desktop,Side,Entertainment,Evening,0
173,38.0,Male,Tablet,Side,Social Media,Afternoon,1
174,40.339417052574234,Non-Binary,Mobile,Side,Education,Night,1
175,42.0,Male,Desktop,Bottom,Shopping,Morning,1
176,27.0,Male,Desktop,Bottom,Education,Evening,0
177,57.0,Male,Tablet,Bottom,News,Morning,0
178,40.339417052574234,Male,Desktop,Bottom,Entertainment,Morning,1
179,39.0,Male,Desktop,Bottom,Entertainment,Morning,0
180,40.339417052574234,Male,Mobile,Bottom,Entertainment,Morning,1
181,40.339417052574234,Male,Desktop,Bottom,Shopping,Afternoon,0
182,40.339417052574234,Male,Desktop,Bottom,Entertainment,Morning,0
183,40.339417052574234,Male,Mobile,Bottom,Social Media,Morning,0
184,40.339417052574234,Non-Binary,Desktop,Top,Entertainment,Night,0
185,35.0,Female,Mobile,Bottom,Social Media,Night,0
186,40.339417052574234,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
187,53.0,Male,Desktop,Side,Education,Evening,0
188,40.339417052574234,Male,Desktop,Side,Entertainment,Morning,0
189,40.339417052574234,Male,Desktop,Bottom,Entertainment,Afternoon,1
190,40.0,Male,Mobile,Side,News,Evening,1
191,53.0,Non-Binary,Tablet,Bottom,Entertainment,Night,1
192,23.0,Male,Desktop,Bottom,Entertainment,Morning,1
193,43.0,Non-Binary,Mobile,Bottom,Shopping,Afternoon,1
194,40.339417052574234,Male,Tablet,Bottom,Entertainment,Night,1
195,40.339417052574234,Male,Mobile,Side,Education,Morning,1
196,54.0,Female,Desktop,Top,Entertainment,Morning,1
197,40.339417052574234,Male,Desktop,Top,Social Media,Evening,0
198,35.0,Male,Mobile,Top,Entertainment,Evening,1
199,28.0,Male,Mobile,Bottom,Shopping,Afternoon,1
200,40.339417052574234,Male,Desktop,Side,Entertainment,Night,1
201,40.339417052574234,Female,Desktop,Bottom,Entertainment,Afternoon,1
202,40.339417052574234,Male,Tablet,Side,News,Morning,0
203,46.0,Female,Tablet,Side,Entertainment,Morning,1
204,52.0,Female,Mobile,Top,Social Media,Afternoon,1
205,20.0,Male,Desktop,Side,News,Morning,1
206,26.0,Male,Mobile,Side,Entertainment,Afternoon,1
207,28.0,Male,Desktop,Side,Entertainment,Evening,0
208,40.339417052574234,Male,Desktop,Top,Entertainment,Night,0
209,40.339417052574234,Male,Tablet,Bottom,Entertainment,Night,1
210,47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
213,40.339417052574234,Male,Desktop,Top,Shopping,Night,1
214,40.339417052574234,Female,Desktop,Bottom,Shopping,Morning,0
215,40.339417052574234,Non-Binary,Desktop,Top,News,Afternoon,0
216,40.339417052574234,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
217,40.339417052574234,Non-Binary,Desktop,Bottom,Education,Afternoon,0
218,40.339417052574234,Non-Binary,Tablet,Bottom,Education,Morning,1
219,40.339417052574234,Female,Mobile,Side,Shopping,Afternoon,0
220,44.0,Female,Mobile,Top,Entertainment,Afternoon,1
221,34.0,Male,Desktop,Top,Entertainment,Morning,0
222,40.339417052574234,Male,Desktop,Side,Social Media,Evening,1
223,53.0,Male,Desktop,Side,Entertainment,Morning,1
224,54.0,Male,Tablet,Side,Entertainment,Evening,1
225,25.0,Male,Desktop,Side,Entertainment,Night,1
226,40.339417052574234,Male,Desktop,Top,Entertainment,Morning,1
227,40.339417052574234,Non-Binary,Mobile,Bottom,Social Media,Morning,1
228,40.339417052574234,Male,Tablet,Bottom,Entertainment,Evening,1
229,42.0,Male,Mobile,Side,Shopping,Morning,1
230,36.0,Male,Tablet,Bottom,Entertainment,Evening,1
231,33.0,Non-Binary,Mobile,Top,News,Morning,0
232,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
233,33.0,Male,Mobile,Side,Entertainment,Afternoon,0
234,40.339417052574234,Male,Desktop,Bottom,Entertainment,Evening,0
235,40.339417052574234,Male,Desktop,Top,News,Afternoon,0
236,26.0,Male,Mobile,Bottom,Entertainment,Evening,1
237,34.0,Non-Binary,Desktop,Bottom,Shopping,Afternoon,1
238,40.339417052574234,Male,Desktop,Bottom,News,Morning,0
239,35.0,Female,Desktop,Side,Social Media,Morning,0
240,35.0,Non-Binary,Mobile,Bottom,Entertainment,Evening,0
241,41.0,Female,Tablet,Bottom,Entertainment,Night,0
242,40.339417052574234,Male,Tablet,Top,Entertainment,Afternoon,0
243,47.0,Male,Desktop,Side,Entertainment,Evening,0
244,20.0,Male,Mobile,Side,Shopping,Night,1
245,27.0,Male,Desktop,Top,Shopping,Night,0
246,45.0,Non-Binary,Desktop,Top,Social Media,Night,0
247,36.0,Male,Desktop,Bottom,Entertainment,Morning,0
249,40.339417052574234,Male,Desktop,Top,Entertainment,Night,1
250,26.0,Female,Desktop,Top,Entertainment,Night,1
251,40.339417052574234,Male,Desktop,Top,Entertainment,Morning,0
253,40.339417052574234,Female,Mobile,Side,Entertainment,Evening,1
254,40.339417052574234,Female,Desktop,Top,Entertainment,Evening,1
255,40.339417052574234,Non-Binary,Desktop,Bottom,Entertainment,Evening,1
256,27.0,Male,Tablet,Side,News,Afternoon,1
257,45.0,Female,Mobile,Top,Entertainment,Evening,0
258,40.339417052574234,Male,Mobile,Side,News,Morning,0
259,20.0,Female,Mobile,Bottom,Entertainment,Morning,1
260,40.339417052574234,Male,Desktop,Bottom,Entertainment,Afternoon,1
261,40.339417052574234,Male,Desktop,Bottom,Entertainment,Night,1
263,40.339417052574234,Female,Tablet,Top,Entertainment,Afternoon,1
264,40.339417052574234,Male,Desktop,Bottom,Education,Afternoon,0
265,40.339417052574234,Male,Desktop,Bottom,Entertainment,Night,1
266,36.0,Male,Desktop,Top,Entertainment,Night,0
267,38.0,Male,Mobile,Bottom,Education,Afternoon,1
268,40.339417052574234,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,0
269,52.0,Male,Mobile,Bottom,Entertainment,Evening,1
270,40.339417052574234,Non-Binary,Mobile,Side,Entertainment,Morning,0
271,40.339417052574234,Male,Tablet,Bottom,News,Afternoon,0
272,19.0,Male,Tablet,Bottom,Social Media,Morning,1
273,40.339417052574234,Male,Desktop,Bottom,Entertainment,Night,1
274,47.0,Male,Tablet,Bottom,Social Media,Evening,1
275,53.0,Female,Desktop,Top,Social Media,Night,0
276,40.339417052574234,Non-Binary,Mobile,Bottom,Entertainment,Night,1
277,40.339417052574234,Male,Desktop,Bottom,Shopping,Night,1
278,40.339417052574234,Female,Desktop,Side,Entertainment,Evening,0
279,40.339417052574234,Male,Desktop,Side,Entertainment,Afternoon,1
280,29.0,Male,Desktop,Top,Shopping,Night,0
281,63.0,Non-Binary,Mobile,Side,Entertainment,Night,0
282,40.339417052574234,Female,Mobile,Bottom,Entertainment,Morning,1
283,40.339417052574234,Male,Mobile,Side,Entertainment,Morning,0
284,20.0,Female,Mobile,Top,Social Media,Afternoon,1
285,40.339417052574234,Male,Tablet,Bottom,Education,Morning,0
286,40.339417052574234,Female,Desktop,Bottom,Social Media,Morning,1
287,40.339417052574234,Male,Desktop,Side,Social Media,Evening,0
288,36.0,Male,Tablet,Side,Education,Evening,1
289,26.0,Female,Mobile,Bottom,News,Evening,1
290,55.0,Male,Desktop,Top,Entertainment,Night,1
291,62.0,Non-Binary,Mobile,Bottom,Education,Morning,0
292,56.0,Female,Mobile,Bottom,Education,Morning,1
293,40.339417052574234,Male,Desktop,Top,Entertainment,Morning,1
294,26.0,Female,Mobile,Bottom,Entertainment,Evening,1
295,62.0,Female,Desktop,Bottom,Entertainment,Morning,1
296,40.339417052574234,Female,Desktop,Bottom,Entertainment,Morning,1
297,40.339417052574234,Male,Mobile,Side,Education,Morning,1
298,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1
299,40.339417052574234,Non-Binary,Tablet,Side,Entertainment,Morning,1
300,40.339417052574234,Male,Desktop,Side,Entertainment,Morning,1
301,40.339417052574234,Non-Binary,Desktop,Bottom,Education,Morning,0
303,19.0,Male,Mobile,Top,News,Night,0
304,40.339417052574234,Male,Desktop,Bottom,News,Afternoon,0
305,46.0,Male,Desktop,Bottom,Education,Morning,1
306,28.0,Male,Mobile,Side,Entertainment,Afternoon,1
307,40.339417052574234,Male,Desktop,Top,Entertainment,Morning,1
308,40.339417052574234,Male,Tablet,Top,Entertainment,Evening,1
309,40.339417052574234,Male,Tablet,Bottom,Entertainment,Morning,1
310,21.0,Female,Mobile,Side,Entertainment,Night,1
311,62.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
312,40.339417052574234,Non-Binary,Mobile,Bottom,News,Morning,1
313,21.0,Female,Desktop,Side,Education,Evening,0
314,40.339417052574234,Male,Desktop,Bottom,Entertainment,Morning,0
315,40.339417052574234,Non-Binary,Mobile,Bottom,Entertainment,Morning,1
316,61.0,Male,Desktop,Bottom,Entertainment,Morning,1
317,50.0,Non-Binary,Desktop,Side,Education,Night,0
318,40.339417052574234,Male,Mobile,Top,Entertainment,Afternoon,1
319,49.0,Male,Tablet,Side,Entertainment,Afternoon,0
320,40.339417052574234,Male,Mobile,Bottom,Social Media,Morning,1
321,43.0,Male,Mobile,Side,Entertainment,Morning,0
322,43.0,Male,Mobile,Bottom,Education,Evening,1
323,39.0,Male,Desktop,Top,Entertainment,Evening,1
324,56.0,Female,Mobile,Bottom,News,Night,1
325,40.339417052574234,Male,Tablet,Bottom,Entertainment,Night,0
326,18.0,Male,Desktop,Bottom,Entertainment,Afternoon,0
327,40.0,Non-Binary,Mobile,Side,Entertainment,Morning,1
328,55.0,Non-Binary,Desktop,Side,Entertainment,Evening,1
329,40.339417052574234,Male,Tablet,Side,Shopping,Morning,0
330,40.339417052574234,Male,Mobile,Top,Entertainment,Morning,1
331,36.0,Male,Tablet,Bottom,Social Media,Evening,0
332,40.339417052574234,Male,Tablet,Side,Entertainment,Evening,0
333,40.339417052574234,Male,Mobile,Bottom,Entertainment,Morning,1
334,40.339417052574234,Male,Desktop,Top,Social Media,Morning,0
335,40.339417052574234,Female,Desktop,Side,Education,Evening,0
336,36.0,Female,Mobile,Bottom,Entertainment,Morning,1
337,40.339417052574234,Male,Desktop,Side,Shopping,Night,1
339,40.339417052574234,Male,Desktop,Side,Entertainment,Night,1
340,55.0,Male,Desktop,Top,Entertainment,Morning,0
341,40.339417052574234,Female,Desktop,Side,Entertainment,Evening,0
342,19.0,Female,Tablet,Side,Entertainment,Afternoon,1
343,58.0,Male,Desktop,Top,Education,Afternoon,1
344,40.339417052574234,Non-Binary,Desktop,Side,Entertainment,Morning,1
345,19.0,Male,Desktop,Bottom,Entertainment,Night,0
346,40.339417052574234,Non-Binary,Desktop,Side,News,Morning,1
347,40.339417052574234,Male,Mobile,Bottom,Entertainment,Morning,0
349,40.339417052574234,Male,Desktop,Side,Entertainment,Morning,1
350,54.0,Male,Tablet,Bottom,News,Evening,0
351,40.339417052574234,Male,Desktop,Bottom,Shopping,Morning,1
352,40.339417052574234,Male,Desktop,Side,Entertainment,Night,1
353,22.0,Male,Desktop,Bottom,Entertainment,Morning,1
354,40.339417052574234,Male,Tablet,Side,Shopping,Afternoon,0
355,22.0,Male,Desktop,Bottom,Shopping,Afternoon,1
356,40.339417052574234,Male,Tablet,Top,Education,Morning,0
357,22.0,Male,Tablet,Bottom,Entertainment,Night,0
358,40.339417052574234,Male,Tablet,Side,Entertainment,Afternoon,1
359,40.339417052574234,Male,Tablet,Top,Entertainment,Morning,1
360,19.0,Male,Desktop,Bottom,Entertainment,Afternoon,1
361,36.0,Male,Tablet,Top,Shopping,Night,0
362,40.339417052574234,Male,Tablet,Bottom,Entertainment,Night,1
363,40.339417052574234,Male,Mobile,Top,Entertainment,Afternoon,1
364,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1
365,35.0,Non-Binary,Tablet,Bottom,Education,Night,1
366,58.0,Male,Desktop,Bottom,Entertainment,Evening,1
367,32.0,Male,Desktop,Side,News,Afternoon,0
368,25.0,Male,Tablet,Top,Social Media,Evening,0
369,40.339417052574234,Male,Tablet,Side,Entertainment,Morning,0
370,40.339417052574234,Male,Desktop,Side,Entertainment,Morning,1
371,40.339417052574234,Female,Tablet,Top,Education,Evening,1
372,40.339417052574234,Male,Mobile,Side,Entertainment,Afternoon,1
373,40.339417052574234,Male,Mobile,Bottom,News,Morning,0
374,40.339417052574234,Male,Desktop,Bottom,Shopping,Morning,1
375,28.0,Male,Mobile,Bottom,Entertainment,Morning,1
376,40.339417052574234,Male,Tablet,Side,Entertainment,Morning,1
377,40.339417052574234,Male,Desktop,Side,News,Night,1
378,42.0,Male,Tablet,Top,Entertainment,Night,0
379,40.339417052574234,Male,Desktop,Bottom,News,Night,1
380,46.0,Male,Mobile,Side,Social Media,Morning,1
381,40.0,Male,Desktop,Top,Entertainment,Morning,1
382,41.0,Male,Desktop,Top,Entertainment,Morning,0
383,19.0,Male,Desktop,Side,Entertainment,Morning,1
384,40.339417052574234,Female,Desktop,Top,Entertainment,Afternoon,0
385,46.0,Female,Desktop,Bottom,Entertainment,Morning,1
386,50.0,Female,Desktop,Bottom,Education,Afternoon,1
387,40.339417052574234,Non-Binary,Mobile,Top,Entertainment,Morning,1
388,40.339417052574234,Non-Binary,Tablet,Bottom,News,Morning,1
389,59.0,Male,Desktop,Top,Entertainment,Morning,0
390,53.0,Non-Binary,Desktop,Bottom,Shopping,Night,1
391,40.339417052574234,Male,Desktop,Top,Entertainment,Morning,0
392,36.0,Female,Mobile,Bottom,Entertainment,Night,1
393,52.0,Male,Desktop,Top,Entertainment,Afternoon,0
394,52.0,Non-Binary,Tablet,Side,Entertainment,Evening,1
395,40.339417052574234,Male,Desktop,Top,Entertainment,Evening,0
396,40.339417052574234,Male,Tablet,Bottom,Shopping,Morning,0
397,61.0,Male,Desktop,Top,Education,Night,0
398,30.0,Male,Tablet,Top,Entertainment,Evening,1
399,28.0,Non-Binary,Mobile,Bottom,Entertainment,Morning,1
400,63.0,Male,Tablet,Bottom,Shopping,Morning,1
401,40.339417052574234,Male,Mobile,Bottom,Entertainment,Evening,0
402,43.0,Male,Desktop,Top,Entertainment,Evening,0
403,29.0,Male,Tablet,Side,Entertainment,Morning,0
404,40.339417052574234,Male,Desktop,Top,Entertainment,Afternoon,1
405,49.0,Male,Tablet,Side,Entertainment,Night,1
406,42.0,Male,Desktop,Side,Entertainment,Morning,0
407,40.339417052574234,Female,Mobile,Side,Entertainment,Evening,1
408,40.339417052574234,Male,Desktop,Top,Entertainment,Night,1
409,32.0,Male,Mobile,Top,Entertainment,Morning,0
411,20.0,Male,Tablet,Side,Entertainment,Morning,1
412,25.0,Male,Mobile,Bottom,Entertainment,Afternoon,0
413,40.339417052574234,Male,Desktop,Side,Social Media,Morning,0
415,44.0,Non-Binary,Tablet,Side,Entertainment,Evening,1
416,32.0,Male,Tablet,Side,Entertainment,Morning,1
417,47.0,Male,Mobile,Bottom,Shopping,Afternoon,1
418,40.339417052574234,Male,Tablet,Top,Entertainment,Morning,0
419,40.339417052574234,Male,Desktop,Bottom,Social Media,Morning,1
420,53.0,Non-Binary,Mobile,Side,News,Morning,1
421,40.339417052574234,Male,Mobile,Top,Entertainment,Night,0
422,40.339417052574234,Male,Desktop,Side,Entertainment,Evening,1
423,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
424,34.0,Female,Mobile,Bottom,Education,Evening,1
425,25.0,Male,Mobile,Bottom,Entertainment,Morning,1
426,20.0,Male,Mobile,Side,Entertainment,Night,1
427,40.339417052574234,Male,Tablet,Side,Shopping,Afternoon,1
428,51.0,Male,Mobile,Top,Social Media,Morning,1
429,40.339417052574234,Male,Tablet,Side,Education,Evening,1
431,45.0,Male,Tablet,Top,Entertainment,Evening,0
432,40.339417052574234,Non-Binary,Desktop,Bottom,Education,Morning,1
433,20.0,Male,Desktop,Bottom,Entertainment,Morning,1
434,40.339417052574234,Male,Mobile,Bottom,News,Evening,0
435,40.339417052574234,Male,Tablet,Bottom,Entertainment,Morning,1
436,29.0,Male,Mobile,Top,News,Evening,0
438,40.339417052574234,Male,Tablet,Bottom,Entertainment,Evening,0
439,56.0,Male,Desktop,Top,Entertainment,Afternoon,1
440,62.0,Male,Desktop,Bottom,Social Media,Night,1
441,40.339417052574234,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
442,41.0,Female,Tablet,Top,Entertainment,Evening,0
443,50.0,Female,Desktop,Bottom,Education,Morning,1
444,40.339417052574234,Male,Desktop,Side,Entertainment,Evening,1
445,40.339417052574234,Male,Tablet,Top,Entertainment,Morning,1
446,41.0,Male,Tablet,Top,Education,Morning,0
447,40.339417052574234,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
448,40.339417052574234,Male,Tablet,Top,Shopping,Morning,0
449,26.0,Male,Mobile,Side,Entertainment,Morning,1
450,28.0,Male,Mobile,Bottom,Entertainment,Morning,1
451,40.339417052574234,Male,Tablet,Top,Entertainment,Morning,1
452,44.0,Male,Tablet,Side,Entertainment,Evening,1
